"C1369","其他水产品加工","C136","ALL,C,C13,C136,C1369","STD_GB_4754-2011","行业大小类","0","0",
"C137","蔬菜、水果和坚果加工","C13","ALL,C,C13,C137","STD_GB_4754-2011","行业大小类","0","0",
"C1371","蔬菜加工","C137","ALL,C,C13,C137,C1371","STD_GB_4754-2011","行业大小类","0","0",
"C1372","水果和坚果加工","C137","ALL,C,C13,C137,C1372","STD_GB_4754-2011","行业大小类","0","0",
"C139","其他农副食品加工","C13","ALL,C,C13,C139","STD_GB_4754-2011","行业大小类","0","0",
"C1391","淀粉及淀粉制品制造","C139","ALL,C,C13,C139,C1391","STD_GB_4754-2011","行业大小类","0","0",
"C1392","豆制品制造","C139","ALL,C,C13,C139,C1392","STD_GB_4754-2011","行业大小类","0","0",
"C1393","蛋品加工","C139","ALL,C,C13,C139,C1393","STD_GB_4754-2011","行业大小类","0","0",
"C1399","其他未列明农副食品加工","C139","ALL,C,C13,C139,C1399","STD_GB_4754-2011","行业大小类","0","0",
"C14","食品制造业","C","ALL,C,C14","STD_GB_4754-2011","行业大小类","0","0",
"C141","焙烤食品制造","C14","ALL,C,C14,C141","STD_GB_4754-2011","行业大小类","0","0",
"C1411","糕点、面包制造","C141","ALL,C,C14,C141,C1411","STD_GB_4754-2011","行业大小类","0","0",
"C1419","饼干及其他焙烤食品制造","C141","ALL,C,C14,C141,C1419","STD_GB_4754-2011","行业大小类","0","0",
"C142","糖果、巧克力及蜜饯制造","C14","ALL,C,C14,C142","STD_GB_4754-2011","行业大小类","0","0",
"C1421","糖果、巧克力制造","C142","ALL,C,C14,C142,C1421","STD_GB_4754-2011","行业大小类","0","0",
"C1422","蜜饯制作","C142","ALL,C,C14,C142,C1422","STD_GB_4754-2011","行业大小类","0","0",
"C143","方便食品制造","C14","ALL,C,C14,C143","STD_GB_4754-2011","行业大小类","0","0",
"C1431","米、面制品制造","C143","ALL,C,C14,C143,C1431","STD_GB_4754-2011","行业大小类","0","0",
"C1432","速冻食品制造","C143","ALL,C,C14,C143,C1432","STD_GB_4754-2011","行业大小类","0","0",
"C1439","方便面及其他方便食品制造","C143","ALL,C,C14,C143,C1439","STD_GB_4754-2011","行业大小类","0","0",
"C144","乳制品制造","C14","ALL,C,C14,C144","STD_GB_4754-2011","行业大小类","0","0",
"C1440","乳制品制造","C144","ALL,C,C14,C144,C1440","STD_GB_4754-2011","行业大小类","0","0",
"C145","罐头食品制造","C14","ALL,C,C14,C145","STD_GB_4754-2011","行业大小类","0","0",
"C1451","肉、禽类罐头制造","C145","ALL,C,C14,C145,C1451","STD_GB_4754-2011","行业大小类","0","0",
